86537,69312,179821,141898,104564,87402,61218,47240,21041
64533,68775,65098,67500,75439,75187,57525,49408,27039
49075,61542,36640,45009,62470,72638,56630,54985,26898
3294,4124,2931,3460,4580,6111,6598,5792,2770
27547,32963,25157,27133,35138,38167,27463,27092,11832
53962,68596,57081,58946,74652,88962,80773,70932,32444
48574,57334,68116,53423,61372,69197,61275,53064,27064
74914,89367,77210,79587,92314,104746,90254,76423,39400
98458,105440,142597,109132,113156,116723,98264,81407,38797
44782,55195,45158,45990,54403,60544,53957,44998,23047
58534,67392,78931,64601,70736,81489,73626,63356,31774
